rt_id,Judge,tip,Category,Round,Heat,Stn,stanica,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,bm,turnir
1559,D,A,Rock'n'Roll-Main Class Contact Style,First round,2,300,4,-15,-25,-10,-10,-25,-1,0,143
1559,D,A,Rock'n'Roll-Main Class Contact Style,First round,3,362,4,-5,-10,-15,-5,0,-1,0,143
1559,D,A,Rock'n'Roll-Main Class Contact Style,First round,4,283,4,-15,-25,-15,-15,-25,-1,0,143
1559,D,A,Rock'n'Roll-Main Class Contact Style,First round,5,181,4,-25,-15,-25,-25,-25,-1,0,143
1559,D,A,Rock'n'Roll-Main Class Contact Style,First round,6,179,4,-15,0,-10,-15,-25,-1,0,143
1559,D,A,Rock'n'Roll-Main Class Contact Style,First round,7,363,4,-10,-10,-10,-10,-15,-1,0,143
1559,D,A,Rock'n'Roll-Main Class Contact Style,First round,8,71,4,-15,-100,-15,-35,-25,-1,0,143
1562,E,A,Boogie-Woogie-Juniors,Final,1,150,1,0,0,0,0,0,0,0,143
1562,E,A,Boogie-Woogie-Juniors,Final,2,193,1,0,0,0,0,0,0,0,143
1562,E,A,Boogie-Woogie-Juniors,Final,3,250,1,0,0,0,0,0,0,0,143
1562,E,A,Boogie-Woogie-Juniors,Final,4,386,1,0,0,0,0,0,0,0,143
1562,H,A,Boogie-Woogie-Juniors,Final,1,150,4,0,0,0,0,0,0,0,143
1562,H,A,Boogie-Woogie-Juniors,Final,2,193,4,0,0,0,0,0,0,0,143
1562,H,A,Boogie-Woogie-Juniors,Final,3,250,4,0,0,0,0,0,0,0,143
1562,H,A,Boogie-Woogie-Juniors,Final,4,386,4,0,0,0,0,0,0,0,143
1565,B,A,Rock'n'Roll-Main Class Start,Final,1,36,2,-25,-15,-25,-25,-35,-35,0,143
1565,B,A,Rock'n'Roll-Main Class Start,Final,2,142,2,-25,-15,-35,-50,-35,-50,0,143
1565,B,A,Rock'n'Roll-Main Class Start,Final,3,176,2,-25,-50,-25,-15,-25,-25,0,143
1565,B,A,Rock'n'Roll-Main Class Start,Final,4,371,2,-25,-15,-35,-35,-35,-25,0,143
1565,B,A,Rock'n'Roll-Main Class Start,Final,5,28,2,-15,-25,-25,-15,-15,-25,0,143
1565,D,A,Rock'n'Roll-Main Class Start,Final,1,36,4,-5,-10,-15,-15,-25,-25,0,143
1565,D,A,Rock'n'Roll-Main Class Start,Final,2,142,4,-10,0,-10,-25,-15,-75,0,143
1565,D,A,Rock'n'Roll-Main Class Start,Final,3,176,4,-5,-15,-10,-15,-15,-10,0,143
1565,D,A,Rock'n'Roll-Main Class Start,Final,4,371,4,-10,-10,-35,-25,-15,-50,0,143
1565,D,A,Rock'n'Roll-Main Class Start,Final,5,28,4,-5,-25,-15,-15,-15,-25,0,143
1567,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,283,1,0,0,0,0,0,0,0,143
1567,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,300,1,0,0,0,0,0,0,0,143
1567,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,179,1,0,0,0,0,0,0,0,143
1567,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,181,1,0,0,0,0,0,0,0,143
1567,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,362,1,0,0,0,0,0,0,0,143
1567,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,363,1,0,0,0,0,0,0,0,143
1567,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,283,4,0,0,0,0,0,0,0,143
1567,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,300,4,0,0,0,0,0,0,0,143
1567,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,179,4,0,0,0,0,0,0,0,143
1567,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,181,4,0,0,0,0,0,0,0,143
1567,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,362,4,0,0,0,0,0,0,0,143
1567,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,363,4,0,0,0,0,0,0,0,143
1568,E,A,Boogie-Woogie-Main Class,Final - slow,1,369,1,0,0,0,0,0,0,0,143
1568,E,A,Boogie-Woogie-Main Class,Final - slow,2,257,1,0,0,0,0,0,0,0,143
