rt_id,Judge,Type,Category,Round,Heat,Stn,stanica,FWL1,FWM1,DF1,CDP1,sm,bm,turnir,krit,val1,val2,val3,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,Acro 7,Acro 8
1552,C,,Rock'n'Roll-Juveniles,First round,4,7,3,-35,-25,10,9,0,0,143,DF,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,D,,Rock'n'Roll-Juveniles,First round,1,155,4,-35,-35,11.25,6,-2,0,143,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,D,,Rock'n'Roll-Juveniles,First round,1,153,4,-35,-25,11.25,10,0,0,143,CDP,2,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,D,,Rock'n'Roll-Juveniles,First round,1,153,4,-35,-25,11.25,10,0,0,143,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,D,,Rock'n'Roll-Juveniles,First round,1,155,4,-35,-35,11.25,6,-2,0,143,CDP,1,1,1,0,0,0,0,0,0,-1,-1
1552,D,,Rock'n'Roll-Juveniles,First round,2,182,4,-15,-35,11.25,9,0,0,143,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,D,,Rock'n'Roll-Juveniles,First round,2,182,4,-15,-35,11.25,9,0,0,143,CDP,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,D,,Rock'n'Roll-Juveniles,First round,2,135,4,-15,-15,12.5,10,0,0,143,DF,1.5,1.5,2,0,0,0,0,0,0,-1,-1
1552,D,,Rock'n'Roll-Juveniles,First round,2,135,4,-15,-15,12.5,10,0,0,143,CDP,1.5,1.5,2,0,0,0,0,0,0,-1,-1
1552,D,,Rock'n'Roll-Juveniles,First round,3,78,4,-10,-10,13.75,12,0,0,143,CDP,1.5,2,2.5,0,0,0,0,0,0,-1,-1
1552,D,,Rock'n'Roll-Juveniles,First round,3,78,4,-10,-10,13.75,12,0,0,143,DF,1.5,2,2,0,0,0,0,0,0,-1,-1
1552,D,,Rock'n'Roll-Juveniles,First round,3,149,4,-15,-15,11.25,9,0,0,143,CDP,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,D,,Rock'n'Roll-Juveniles,First round,3,149,4,-15,-15,11.25,9,0,0,143,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,D,,Rock'n'Roll-Juveniles,First round,4,7,4,-35,-50,8.75,8,-2,0,143,DF,1,1.5,1,0,0,0,0,0,0,-1,-1
1552,D,,Rock'n'Roll-Juveniles,First round,4,235,4,-10,-10,16.25,13,0,0,143,CDP,2,2.5,2,0,0,0,0,0,0,-1,-1
1552,D,,Rock'n'Roll-Juveniles,First round,4,7,4,-35,-50,8.75,8,-2,0,143,CDP,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,D,,Rock'n'Roll-Juveniles,First round,4,235,4,-10,-10,16.25,13,0,0,143,DF,2,2.5,2,0,0,0,0,0,0,-1,-1
1552,E,,Rock'n'Roll-Juveniles,First round,1,153,5,-25,-25,11.25,9,0,0,143,CDP,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,E,,Rock'n'Roll-Juveniles,First round,1,153,5,-25,-25,11.25,9,0,0,143,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,E,,Rock'n'Roll-Juveniles,First round,1,155,5,-50,-75,6.25,3,0,0,143,CDP,0.5,0.5,0.5,0,0,0,0,0,0,-1,-1
1552,E,,Rock'n'Roll-Juveniles,First round,1,155,5,-50,-75,6.25,3,0,0,143,DF,1,1,0.5,0,0,0,0,0,0,-1,-1
1552,E,,Rock'n'Roll-Juveniles,First round,2,135,5,-25,-25,12.5,7,0,0,143,CDP,1.5,1,1,0,0,0,0,0,0,-1,-1
1552,E,,Rock'n'Roll-Juveniles,First round,2,182,5,-10,-25,12.5,10,0,0,143,DF,1.5,2,1.5,0,0,0,0,0,0,-1,-1
1552,E,,Rock'n'Roll-Juveniles,First round,2,182,5,-10,-25,12.5,10,0,0,143,CDP,1.5,2,1.5,0,0,0,0,0,0,-1,-1
1552,E,,Rock'n'Roll-Juveniles,First round,2,135,5,-25,-25,12.5,7,0,0,143,DF,1.5,1.5,2,0,0,0,0,0,0,-1,-1
1552,E,,Rock'n'Roll-Juveniles,First round,3,78,5,-10,-10,17.5,12,0,0,143,CDP,2,2,2,0,0,0,0,0,0,-1,-1
1552,E,,Rock'n'Roll-Juveniles,First round,3,78,5,-10,-10,17.5,12,0,0,143,DF,2.5,2,2.5,0,0,0,0,0,0,-1,-1
1552,E,,Rock'n'Roll-Juveniles,First round,3,149,5,-15,-15,15,11,0,0,143,CDP,2,1.5,2,0,0,0,0,0,0,-1,-1
1552,E,,Rock'n'Roll-Juveniles,First round,3,149,5,-15,-15,15,11,0,0,143,DF,2,2,2,0,0,0,0,0,0,-1,-1
1552,E,,Rock'n'Roll-Juveniles,First round,4,7,5,-50,-75,2.5,3,0,0,143,DF,0,0.5,0.5,0,0,0,0,0,0,-1,-1
1552,E,,Rock'n'Roll-Juveniles,First round,4,235,5,-25,-35,13.75,8,0,0,143,CDP,1.5,1,1.5,0,0,0,0,0,0,-1,-1
1552,E,,Rock'n'Roll-Juveniles,First round,4,7,5,-50,-75,2.5,3,0,0,143,CDP,0.5,0.5,0.5,0,0,0,0,0,0,-1,-1
1552,E,,Rock'n'Roll-Juveniles,First round,4,235,5,-25,-35,13.75,8,0,0,143,DF,2,1.5,2,0,0,0,0,0,0,-1,-1
1554,A,,Rock'n'Roll-Kids,Final,1,134,1,-25,-25,10,9,0,0,143,CDP,1,2,1.5,0,0,0,0,0,0,-1,-1
1554,A,,Rock'n'Roll-Kids,Final,1,134,1,-25,-25,10,9,0,0,143,DF,0.5,2,1.5,0,0,0,0,0,0,-1,-1
1554,B,,Rock'n'Roll-Kids,Final,1,134,2,-15,-25,8.75,7,0,0,143,CDP,1,1.5,1,0,0,0,0,0,0,-1,-1
1554,B,,Rock'n'Roll-Kids,Final,1,134,2,-15,-25,8.75,7,0,0,143,DF,1,1.5,1,0,0,0,0,0,0,-1,-1
1554,C,,Rock'n'Roll-Kids,Final,1,134,3,-25,-35,7.5,8,0,0,143,CDP,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1554,C,,Rock'n'Roll-Kids,Final,1,134,3,-25,-35,7.5,8,0,0,143,DF,0.5,1.5,1,0,0,0,0,0,0,-1,-1
1554,D,,Rock'n'Roll-Kids,Final,1,134,4,-15,-15,8.75,9,0,0,143,CDP,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1554,D,,Rock'n'Roll-Kids,Final,1,134,4,-15,-15,8.75,9,0,0,143,DF,1,1.5,1,0,0,0,0,0,0,-1,-1
1554,E,,Rock'n'Roll-Kids,Final,1,134,5,-50,-50,7.5,5,-4,0,143,CDP,0.5,1,1,0,0,0,0,0,0,-1,-1
1554,E,,Rock'n'Roll-Kids,Final,1,134,5,-50,-50,7.5,5,-4,0,143,DF,1,1,1,0,0,0,0,0,0,-1,-1
1557,A,,Rock'n'Roll-Beginners,Final,1,193,1,-35,-35,12.5,9,0,0,143,CDP,1.5,2,1,0,0,0,0,0,0,-1,-1
1557,A,,Rock'n'Roll-Beginners,Final,1,193,1,-35,-35,12.5,9,0,0,143,DF,1,2,2,0,0,0,0,0,0,-1,-1
1557,A,,Rock'n'Roll-Beginners,Final,2,27,1,-35,-25,11.25,9,0,0,143,CDP,1,2,1.5,0,0,0,0,0,0,-1,-1
1557,A,,Rock'n'Roll-Beginners,Final,2,27,1,-35,-25,11.25,9,0,0,143,DF,1,2,1.5,0,0,0,0,0,0,-1,-1
1557,A,,Rock'n'Roll-Beginners,Final,3,57,1,-25,-25,13.75,11,-4,0,143,CDP,1,2,2,0,0,0,0,0,0,-1,-1
1557,A,,Rock'n'Roll-Beginners,Final,3,57,1,-25,-25,13.75,11,-4,0,143,DF,1,2,2,0,0,0,0,0,0,-1,-1
1557,A,,Rock'n'Roll-Beginners,Final,4,62,1,-25,-35,11.3,9,-10,0,143,DF,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1557,A,,Rock'n'Roll-Beginners,Final,4,62,1,-25,-35,11.3,9,-10,0,143,CDP,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1557,A,,Rock'n'Roll-Beginners,Final,5,3,1,-25,-35,12.5,8,0,0,143,CDP,1,1.5,1,0,0,0,0,0,0,-1,-1
1557,A,,Rock'n'Roll-Beginners,Final,5,3,1,-25,-35,12.5,8,0,0,143,DF,1,1.5,2,0,0,0,0,0,0,-1,-1
1557,A,,Rock'n'Roll-Beginners,Final,6,214,1,-25,-25,12.5,10,0,0,143,CDP,1,1.5,2,0,0,0,0,0,0,-1,-1
1557,A,,Rock'n'Roll-Beginners,Final,6,214,1,-25,-25,12.5,10,0,0,143,DF,1,2,1.5,0,0,0,0,0,0,-1,-1
1557,B,,Rock'n'Roll-Beginners,Final,1,193,2,-35,-50,10,7,0,0,143,DF,1.5,1,1.5,0,0,0,0,0,0,-1,-1
1557,B,,Rock'n'Roll-Beginners,Final,1,193,2,-35,-50,10,7,0,0,143,CDP,1,1.5,1,0,0,0,0,0,0,-1,-1
1557,B,,Rock'n'Roll-Beginners,Final,2,27,2,-50,-15,10,8,0,0,143,DF,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1557,B,,Rock'n'Roll-Beginners,Final,2,27,2,-50,-15,10,8,0,0,143,CDP,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1557,B,,Rock'n'Roll-Beginners,Final,3,57,2,-35,-25,10,8,0,0,143,CDP,1.5,1,1.5,0,0,0,0,0,0,-1,-1
1557,B,,Rock'n'Roll-Beginners,Final,3,57,2,-35,-25,10,8,0,0,143,DF,1.5,1,1.5,0,0,0,0,0,0,-1,-1
1557,B,,Rock'n'Roll-Beginners,Final,4,62,2,-35,-35,8.8,5,0,-10,143,CDP,1,1,0.5,0,0,0,0,0,0,-1,-1
1557,B,,Rock'n'Roll-Beginners,Final,4,62,2,-35,-35,8.8,5,0,-10,143,DF,1,1,1.5,0,0,0,0,0,0,-1,-1
1557,B,,Rock'n'Roll-Beginners,Final,5,3,2,-25,-75,7.5,7,0,0,143,DF,1,1,1,0,0,0,0,0,0,-1,-1
1557,B,,Rock'n'Roll-Beginners,Final,5,3,2,-25,-75,7.5,7,0,0,143,CDP,1,1.5,1,0,0,0,0,0,0,-1,-1
1557,B,,Rock'n'Roll-Beginners,Final,6,214,2,-35,-35,10,8,0,0,143,CDP,1.5,1.5,1,0,0,0,0,0,0,-1,-1
1557,B,,Rock'n'Roll-Beginners,Final,6,214,2,-35,-35,10,8,0,0,143,DF,1,1,2,0,0,0,0,0,0,-1,-1
1557,C,,Rock'n'Roll-Beginners,Final,1,193,3,-50,-50,7.5,8,0,0,143,CDP,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1557,C,,Rock'n'Roll-Beginners,Final,1,193,3,-50,-50,7.5,8,0,0,143,DF,1,0.5,1.5,0,0,0,0,0,0,-1,-1
1557,C,,Rock'n'Roll-Beginners,Final,2,27,3,-50,-50,8.75,9,0,0,143,CDP,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1557,C,,Rock'n'Roll-Beginners,Final,2,27,3,-50,-50,8.75,9,0,0,143,DF,1,1.5,1,0,0,0,0,0,0,-1,-1
1557,C,,Rock'n'Roll-Beginners,Final,3,57,3,-50,-50,8.75,5,0,0,143,CDP,1,1,0.5,0,0,0,0,0,0,-1,-1
1557,C,,Rock'n'Roll-Beginners,Final,3,57,3,-50,-50,8.75,5,0,0,143,DF,1,1,1,0,0,0,0,0,0,-1,-1
1557,C,,Rock'n'Roll-Beginners,Final,4,62,3,-50,-35,10,8,-4,0,143,CDP,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1557,C,,Rock'n'Roll-Beginners,Final,4,62,3,-50,-35,10,8,-4,0,143,DF,1,1,1.5,0,0,0,0,0,0,-1,-1
1557,C,,Rock'n'Roll-Beginners,Final,5,3,3,-50,-50,8.75,9,-2,0,143,CDP,1,2,1.5,0,0,0,0,0,0,-1,-1
1557,C,,Rock'n'Roll-Beginners,Final,5,3,3,-50,-50,8.75,9,-2,0,143,DF,0.5,1,1.5,0,0,0,0,0,0,-1,-1
1557,C,,Rock'n'Roll-Beginners,Final,6,214,3,-35,-35,11.25,9,0,0,143,CDP,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1557,C,,Rock'n'Roll-Beginners,Final,6,214,3,-35,-35,11.25,9,0,0,143,DF,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1557,D,,Rock'n'Roll-Beginners,Final,1,193,4,-15,-35,12.5,8,0,0,143,CDP,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1557,D,,Rock'n'Roll-Beginners,Final,1,193,4,-15,-35,12.5,8,0,0,143,DF,1.5,2,1.5,0,0,0,0,0,0,-1,-1
1557,D,,Rock'n'Roll-Beginners,Final,2,27,4,-25,-15,12.5,10,0,0,143,CDP,2,1.5,1.5,0,0,0,0,0,0,-1,-1
1557,D,,Rock'n'Roll-Beginners,Final,2,27,4,-25,-15,12.5,10,0,0,143,DF,1.5,1.5,2,0,0,0,0,0,0,-1,-1
1557,D,,Rock'n'Roll-Beginners,Final,3,57,4,-25,-15,12.5,10,0,0,143,DF,1.5,1.5,2,0,0,0,0,0,0,-1,-1
1557,D,,Rock'n'Roll-Beginners,Final,3,57,4,-25,-15,12.5,10,0,0,143,CDP,1.5,1.5,2,0,0,0,0,0,0,-1,-1
1557,D,,Rock'n'Roll-Beginners,Final,4,62,4,-35,-35,8.8,8,-2,0,143,CDP,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1557,D,,Rock'n'Roll-Beginners,Final,4,62,4,-35,-35,8.8,8,-2,0,143,DF,1,1.5,1,0,0,0,0,0,0,-1,-1
1557,D,,Rock'n'Roll-Beginners,Final,5,3,4,-25,-35,7.5,6,-2,0,143,CDP,1,1,1,0,0,0,0,0,0,-1,-1
1557,D,,Rock'n'Roll-Beginners,Final,5,3,4,-25,-35,7.5,6,-2,0,143,DF,1,1,1,0,0,0,0,0,0,-1,-1
1557,D,,Rock'n'Roll-Beginners,Final,6,214,4,-15,-25,12.5,9,0,0,143,DF,1.5,1.5,2,0,0,0,0,0,0,-1,-1
1557,D,,Rock'n'Roll-Beginners,Final,6,214,4,-15,-25,12.5,9,0,0,143,CDP,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1557,E,,Rock'n'Roll-Beginners,Final,1,193,5,-50,-50,8.75,6,0,0,143,DF,1.5,1,1,0,0,0,0,0,0,-1,-1
1557,E,,Rock'n'Roll-Beginners,Final,1,193,5,-50,-50,8.75,6,0,0,143,CDP,1,1,1,0,0,0,0,0,0,-1,-1
1557,E,,Rock'n'Roll-Beginners,Final,2,27,5,-35,-25,12.5,10,0,0,143,CDP,1.5,2,1.5,0,0,0,0,0,0,-1,-1
1557,E,,Rock'n'Roll-Beginners,Final,2,27,5,-35,-25,12.5,10,0,0,143,DF,1.5,1.5,2,0,0,0,0,0,0,-1,-1
1557,E,,Rock'n'Roll-Beginners,Final,3,57,5,-50,-50,7.5,6,0,0,143,CDP,1,1,1,0,0,0,0,0,0,-1,-1
1557,E,,Rock'n'Roll-Beginners,Final,3,57,5,-50,-50,7.5,6,0,0,143,DF,1,1,1,0,0,0,0,0,0,-1,-1
1557,E,,Rock'n'Roll-Beginners,Final,4,62,5,-50,-50,7.5,4,-2,0,143,DF,1,1,1,0,0,0,0,0,0,-1,-1
1557,E,,Rock'n'Roll-Beginners,Final,4,62,5,-50,-50,7.5,4,-2,0,143,CDP,0.5,1,0.5,0,0,0,0,0,0,-1,-1
1557,E,,Rock'n'Roll-Beginners,Final,5,3,5,-50,-50,7.5,6,0,0,143,CDP,1,1,1,0,0,0,0,0,0,-1,-1
1557,E,,Rock'n'Roll-Beginners,Final,5,3,5,-50,-50,7.5,6,0,0,143,DF,1,1,1,0,0,0,0,0,0,-1,-1
1557,E,,Rock'n'Roll-Beginners,Final,6,214,5,-35,-35,8.75,7,0,0,143,CDP,1.5,1,1,0,0,0,0,0,0,-1,-1
1557,E,,Rock'n'Roll-Beginners,Final,6,214,5,-35,-35,8.75,7,0,0,143,DF,1,1,1.5,0,0,0,0,0,0,-1,-1
1558,A,,Rock'n'Roll-Juveniles,Final,1,153,1,-35,-25,11.25,7,0,0,143,CDP,1,1.5,1,0,0,0,0,0,0,-1,-1
1558,A,,Rock'n'Roll-Juveniles,Final,1,153,1,-35,-25,11.25,7,0,0,143,DF,1,2,1.5,0,0,0,0,0,0,-1,-1
1558,A,,Rock'n'Roll-Juveniles,Final,2,182,1,-10,-25,13.75,9,-2,0,143,CDP,1,1.5,2,0,0,0,0,0,0,-1,-1
1558,A,,Rock'n'Roll-Juveniles,Final,2,182,1,-10,-25,13.75,9,-2,0,143,DF,1.5,2,2,0,0,0,0,0,0,-1,-1
1558,A,,Rock'n'Roll-Juveniles,Final,3,149,1,-35,-25,11.25,7,-4,0,143,CDP,1,1.5,1,0,0,0,0,0,0,-1,-1
1558,A,,Rock'n'Roll-Juveniles,Final,3,149,1,-35,-25,11.25,7,-4,0,143,DF,1,1.5,2,0,0,0,0,0,0,-1,-1
1558,A,,Rock'n'Roll-Juveniles,Final,4,78,1,-10,-5,18.75,13,0,0,143,CDP,2,2,2.5,0,0,0,0,0,0,-1,-1
1558,A,,Rock'n'Roll-Juveniles,Final,4,78,1,-10,-5,18.75,13,0,0,143,DF,2,2,2.5,0,0,0,0,0,0,-1,-1
1558,A,,Rock'n'Roll-Juveniles,Final,5,235,1,-15,-10,16.25,11,-2,0,143,CDP,2,1,2,0,0,0,0,0,0,-1,-1
1558,A,,Rock'n'Roll-Juveniles,Final,5,235,1,-15,-10,16.25,11,-2,0,143,DF,1.5,2,2,0,0,0,0,0,0,-1,-1
1558,A,,Rock'n'Roll-Juveniles,Final,6,135,1,-25,-35,13.75,9,-2,0,143,CDP,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1558,A,,Rock'n'Roll-Juveniles,Final,6,135,1,-25,-35,13.75,9,-2,0,143,DF,1,1.5,2,0,0,0,0,0,0,-1,-1
1558,B,,Rock'n'Roll-Juveniles,Final,1,153,2,-35,-25,10,8,0,0,143,CDP,1.5,1.5,1,0,0,0,0,0,0,-1,-1
1558,B,,Rock'n'Roll-Juveniles,Final,1,153,2,-35,-25,10,8,0,0,143,DF,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1558,B,,Rock'n'Roll-Juveniles,Final,2,182,2,-15,-35,12.5,8,0,0,143,DF,1.5,2,1.5,0,0,0,0,0,0,-1,-1
1558,B,,Rock'n'Roll-Juveniles,Final,2,182,2,-15,-35,12.5,8,0,0,143,CDP,1.5,1.5,1,0,0,0,0,0,0,-1,-1
1558,B,,Rock'n'Roll-Juveniles,Final,3,149,2,-15,-50,10,9,0,0,143,CDP,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1558,B,,Rock'n'Roll-Juveniles,Final,3,149,2,-15,-50,10,9,0,0,143,DF,1.5,1,1.5,0,0,0,0,0,0,-1,-1
1558,B,,Rock'n'Roll-Juveniles,Final,4,78,2,-10,-15,13.75,11,0,0,143,CDP,1.5,2,2,0,0,0,0,0,0,-1,-1
1558,B,,Rock'n'Roll-Juveniles,Final,4,78,2,-10,-15,13.75,11,0,0,143,DF,1.5,2,2,0,0,0,0,0,0,-1,-1
1558,B,,Rock'n'Roll-Juveniles,Final,5,235,2,-15,-15,12.5,9,0,0,143,DF,1.5,2,1.5,0,0,0,0,0,0,-1,-1
1558,B,,Rock'n'Roll-Juveniles,Final,5,235,2,-15,-15,12.5,9,0,0,143,CDP,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1558,B,,Rock'n'Roll-Juveniles,Final,6,135,2,-15,-35,8.75,7,0,0,143,DF,1,1.5,1,0,0,0,0,0,0,-1,-1
1558,B,,Rock'n'Roll-Juveniles,Final,6,135,2,-15,-35,8.75,7,0,0,143,CDP,1,1.5,1,0,0,0,0,0,0,-1,-1
