anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,150,Rock'n'Roll-Beginners,First round,3,239,bm,3.73,8.0,0.46625,"[0.0, 0.0, 0.0, -10.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,First round,4,27,DF,0.86,2.3,0.3739130434782609,"[11.25, 11.25, 11.25, 10.0, 10.0, 12.5]"
,150,Rock'n'Roll-Beginners,First round,4,27,CO,0.76,2.0,0.38,"[9.0, 9.0, 7.0, 9.0, 8.0, 9.0]"
,150,Rock'n'Roll-Beginners,First round,4,27,FM,0.84,2.0,0.42,"[8.5, 6.5, 9.0, 8.5, 7.5, 8.5]"
,150,Rock'n'Roll-Beginners,First round,4,27,FW,5.77,14.4,0.4006944444444444,"[-25.0, -35.0, -25.0, -15.0, -25.0, -25.0]"
,150,Rock'n'Roll-Beginners,First round,4,27,sm,1.15,2.3,0.5,"[0.0, -2.0, -2.0, -2.0, -2.0, -4.0]"
,150,Rock'n'Roll-Beginners,First round,4,27,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,First round,4,240,DF,1.97,2.3,0.8565217391304348,"[6.25, 8.75, 7.5, 12.5, 8.75, 7.5]"
,150,Rock'n'Roll-Beginners,First round,4,240,CO,1.53,2.0,0.765,"[6.0, 9.0, 5.0, 9.0, 6.0, 7.0]"
,150,Rock'n'Roll-Beginners,First round,4,240,FM,1.18,2.0,0.59,"[5.0, 6.5, 6.5, 9.0, 6.5, 6.5]"
,150,Rock'n'Roll-Beginners,First round,4,240,FW,12.25,14.4,0.8506944444444444,"[-35.0, -25.0, -50.0, -10.0, -35.0, -25.0]"
,150,Rock'n'Roll-Beginners,First round,4,240,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, 0.0, 0.0, 0.0, -2.0]"
,150,Rock'n'Roll-Beginners,First round,4,240,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,First round,5,57,DF,1.2,2.3,0.5217391304347826,"[10.0, 11.25, 10.0, 12.5, 8.75, 11.25]"
,150,Rock'n'Roll-Beginners,First round,5,57,CO,1.8,2.0,0.9,"[7.0, 6.0, 6.0, 11.0, 9.0, 7.0]"
,150,Rock'n'Roll-Beginners,First round,5,57,FM,0.37,2.0,0.185,"[7.5, 7.5, 7.5, 8.5, 7.5, 7.5]"
,150,Rock'n'Roll-Beginners,First round,5,57,FW,5.59,14.4,0.3881944444444444,"[-25.0, -15.0, -10.0, -15.0, -25.0, -15.0]"
,150,Rock'n'Roll-Beginners,First round,5,57,sm,1.8,2.3,0.782608695652174,"[0.0, 0.0, -2.0, -4.0, -4.0, 0.0]"
,150,Rock'n'Roll-Beginners,First round,5,57,bm,3.73,8.0,0.46625,"[0.0, 0.0, 0.0, 0.0, 0.0, -10.0]"
,150,Rock'n'Roll-Beginners,First round,5,131,DF,2.21,2.3,0.9608695652173913,"[7.5, 7.5, 10.0, 13.75, 11.25, 8.75]"
,150,Rock'n'Roll-Beginners,First round,5,131,CO,1.11,2.0,0.555,"[7.0, 8.0, 6.0, 9.0, 9.0, 7.0]"
,150,Rock'n'Roll-Beginners,First round,5,131,FM,0.82,2.0,0.41,"[6.5, 6.5, 8.5, 8.5, 7.5, 7.5]"
,150,Rock'n'Roll-Beginners,First round,5,131,FW,3.73,14.4,0.25902777777777775,"[-25.0, -25.0, -25.0, -15.0, -25.0, -25.0]"
,150,Rock'n'Roll-Beginners,First round,5,131,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,First round,5,131,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,First round,6,238,DF,1.56,2.3,0.6782608695652175,"[7.5, 12.5, 8.75, 10.0, 10.0, 8.75]"
,150,Rock'n'Roll-Beginners,First round,6,238,CO,1.89,2.0,0.945,"[6.0, 10.0, 5.0, 10.0, 7.0, 7.0]"
,150,Rock'n'Roll-Beginners,First round,6,238,FM,0.84,2.0,0.42,"[6.5, 5.0, 7.5, 7.5, 6.5, 6.5]"
,150,Rock'n'Roll-Beginners,First round,6,238,FW,5.0,14.4,0.3472222222222222,"[-35.0, -35.0, -25.0, -25.0, -35.0, -25.0]"
,150,Rock'n'Roll-Beginners,First round,6,238,sm,0.0,2.3,0.0,"[-2.0, -2.0, -2.0, -2.0, -2.0, -2.0]"
,150,Rock'n'Roll-Beginners,First round,6,238,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,Hope round,1,238,DF,0.93,2.3,0.4043478260869566,"[7.5, 8.75, 7.5, 10.0, 7.5, 8.75]"
,150,Rock'n'Roll-Beginners,Hope round,1,238,CO,1.07,2.0,0.535,"[6.0, 8.0, 5.0, 8.0, 7.0, 7.0]"
,150,Rock'n'Roll-Beginners,Hope round,1,238,FM,0.84,2.0,0.42,"[7.5, 6.5, 6.5, 7.5, 5.0, 6.5]"
,150,Rock'n'Roll-Beginners,Hope round,1,238,FW,3.73,14.4,0.25902777777777775,"[-25.0, -35.0, -35.0, -35.0, -35.0, -35.0]"
,150,Rock'n'Roll-Beginners,Hope round,1,238,sm,1.53,2.3,0.6652173913043479,"[0.0, 0.0, 0.0, -4.0, -2.0, 0.0]"
,150,Rock'n'Roll-Beginners,Hope round,1,238,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,Hope round,1,239,DF,1.02,2.3,0.44347826086956527,"[7.5, 8.75, 6.25, 8.75, 6.25, 7.5]"
,150,Rock'n'Roll-Beginners,Hope round,1,239,CO,1.25,2.0,0.625,"[4.0, 6.0, 4.0, 7.0, 7.0, 6.0]"
,150,Rock'n'Roll-Beginners,Hope round,1,239,FM,0.99,2.0,0.495,"[5.0, 5.0, 6.5, 7.5, 5.0, 5.0]"
,150,Rock'n'Roll-Beginners,Hope round,1,239,FW,5.59,14.4,0.3881944444444444,"[-35.0, -50.0, -35.0, -35.0, -35.0, -35.0]"
,150,Rock'n'Roll-Beginners,Hope round,1,239,sm,2.13,2.3,0.9260869565217391,"[-6.0, -4.0, -2.0, 0.0, 0.0, -2.0]"
,150,Rock'n'Roll-Beginners,Hope round,1,239,bm,3.73,8.0,0.46625,"[0.0, 0.0, 0.0, 0.0, -10.0, 0.0]"
,150,Rock'n'Roll-Beginners,Hope round,2,3,DF,1.68,2.3,0.7304347826086957,"[6.25, 10.0, 7.5, 10.0, 8.75, 11.25]"
,150,Rock'n'Roll-Beginners,Hope round,2,3,CO,1.57,2.0,0.785,"[4.0, 7.0, 6.0, 9.0, 7.0, 8.0]"
,150,Rock'n'Roll-Beginners,Hope round,2,3,FM,1.74,2.0,0.87,"[2.5, 5.0, 7.5, 7.5, 6.5, 6.5]"
,150,Rock'n'Roll-Beginners,Hope round,2,3,FW,3.73,14.4,0.25902777777777775,"[-35.0, -35.0, -35.0, -25.0, -35.0, -35.0]"
,150,Rock'n'Roll-Beginners,Hope round,2,3,sm,1.49,2.3,0.6478260869565218,"[0.0, 0.0, -4.0, 0.0, -2.0, -2.0]"
,150,Rock'n'Roll-Beginners,Hope round,2,3,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,Hope round,2,240,DF,1.33,2.3,0.5782608695652175,"[7.5, 7.5, 8.75, 11.25, 8.75, 7.5]"
,150,Rock'n'Roll-Beginners,Hope round,2,240,CO,1.71,2.0,0.855,"[5.0, 6.0, 5.0, 10.0, 7.0, 6.0]"
,150,Rock'n'Roll-Beginners,Hope round,2,240,FM,1.13,2.0,0.565,"[5.0, 5.0, 7.5, 7.5, 5.0, 6.5]"
,150,Rock'n'Roll-Beginners,Hope round,2,240,FW,10.27,14.4,0.7131944444444444,"[-50.0, -50.0, -25.0, -25.0, -35.0, -35.0]"
,150,Rock'n'Roll-Beginners,Hope round,2,240,sm,0.94,2.3,0.40869565217391307,"[0.0, -2.0, 0.0, 0.0, 0.0, -2.0]"
,150,Rock'n'Roll-Beginners,Hope round,2,240,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,Hope round,3,131,DF,1.83,2.3,0.7956521739130435,"[7.5, 10.0, 12.5, 12.5, 12.5, 11.25]"
,150,Rock'n'Roll-Beginners,Hope round,3,131,CO,1.07,2.0,0.535,"[7.0, 7.0, 7.0, 8.0, 10.0, 8.0]"
,150,Rock'n'Roll-Beginners,Hope round,3,131,FM,1.22,2.0,0.61,"[7.5, 5.0, 7.5, 8.5, 8.5, 6.5]"
,150,Rock'n'Roll-Beginners,Hope round,3,131,FW,8.98,14.4,0.6236111111111111,"[-25.0, -35.0, -15.0, -15.0, -15.0, -35.0]"
,150,Rock'n'Roll-Beginners,Hope round,3,131,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,Hope round,3,131,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,Hope round,3,237,DF,1.12,2.3,0.4869565217391305,"[7.5, 7.5, 5.0, 5.0, 6.25, 7.5]"
,150,Rock'n'Roll-Beginners,Hope round,3,237,CO,1.26,2.0,0.63,"[3.0, 5.0, 3.0, 6.0, 4.0, 6.0]"
,150,Rock'n'Roll-Beginners,Hope round,3,237,FM,1.18,2.0,0.59,"[2.5, 5.0, 5.0, 5.0, 2.5, 5.0]"
,150,Rock'n'Roll-Beginners,Hope round,3,237,FW,7.07,14.4,0.49097222222222225,"[-50.0, -50.0, -35.0, -35.0, -50.0, -50.0]"
yes,150,Rock'n'Roll-Beginners,Hope round,3,237,sm,2.98,2.3,1.2956521739130435,"[-2.0, -10.0, -2.0, -6.0, -8.0, -4.0]"
,150,Rock'n'Roll-Beginners,Hope round,3,237,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,Hope round,4,57,DF,1.56,2.3,0.6782608695652175,"[10.0, 11.25, 11.25, 12.5, 15.0, 12.5]"
,150,Rock'n'Roll-Beginners,Hope round,4,57,CO,1.89,2.0,0.945,"[6.0, 7.0, 5.0, 10.0, 10.0, 7.0]"
,150,Rock'n'Roll-Beginners,Hope round,4,57,FM,0.5,2.0,0.25,"[7.5, 7.5, 6.5, 7.5, 6.5, 6.5]"
,150,Rock'n'Roll-Beginners,Hope round,4,57,FW,7.45,14.4,0.5173611111111112,"[-35.0, -35.0, -35.0, -15.0, -25.0, -25.0]"
,150,Rock'n'Roll-Beginners,Hope round,4,57,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,Hope round,4,57,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Juveniles,Final,1,135,DF,1.61,2.3,0.7000000000000001,"[11.25, 12.5, 8.75, 11.25, 10.0, 13.75]"
,150,Rock'n'Roll-Juveniles,Final,1,135,CO,0.69,2.0,0.345,"[7.0, 8.0, 8.0, 9.0, 8.0, 9.0]"
