anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,152,Rock'n'Roll-Juniors,Final,4,494,CO,1.25,2.0,0.625,"[14.0, 11.0, 12.0, 12.0, 11.0, 14.0]"
,152,Rock'n'Roll-Juniors,Final,4,494,FM,0.55,2.0,0.275,"[9.0, 10.0, 9.5, 9.5, 8.5, 8.5]"
,152,Rock'n'Roll-Juniors,Final,4,494,FW,8.16,14.4,0.5666666666666667,"[-10.0, 0.0, -5.0, -5.0, -25.0, -15.0]"
,152,Rock'n'Roll-Juniors,Final,4,494,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juniors,Final,4,494,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juniors,Final,5,150,DF,1.26,2.3,0.5478260869565218,"[9.0, 6.0, 8.0, 6.0, 9.0, 7.0]"
,152,Rock'n'Roll-Juniors,Final,5,150,CO,1.12,2.0,0.56,"[9.0, 7.0, 7.0, 6.0, 9.0, 7.0]"
,152,Rock'n'Roll-Juniors,Final,5,150,FM,1.34,2.0,0.67,"[5.0, 6.5, 5.0, 2.5, 6.5, 5.0]"
,152,Rock'n'Roll-Juniors,Final,5,150,FW,12.58,14.4,0.8736111111111111,"[-25.0, -15.0, -25.0, -50.0, -25.0, -10.0]"
,152,Rock'n'Roll-Juniors,Final,5,150,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juniors,Final,5,150,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juniors,Final,6,0,DF,1.5,2.3,0.6521739130434783,"[12.0, 13.0, 10.0, 12.0, 13.0, 15.0]"
,152,Rock'n'Roll-Juniors,Final,6,0,CO,1.98,2.0,0.99,"[13.0, 11.0, 9.0, 10.0, 11.0, 15.0]"
,152,Rock'n'Roll-Juniors,Final,6,0,FM,0.75,2.0,0.375,"[8.5, 10.0, 9.0, 9.0, 7.5, 9.0]"
,152,Rock'n'Roll-Juniors,Final,6,0,FW,5.0,14.4,0.3472222222222222,"[-15.0, 0.0, -10.0, -10.0, -15.0, -10.0]"
,152,Rock'n'Roll-Juniors,Final,6,0,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juniors,Final,6,0,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,1,133,DF,0.9,2.3,0.391304347826087,"[6.0, 6.0, 6.0, 5.0, 8.0, 6.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,1,133,CO,1.28,2.0,0.64,"[5.25, 1.5, 4.5, 3.75, 5.25, 4.5]"
,152,Rock'n'Roll-Small Formation Juniors,Final,1,133,FM,1.26,2.0,0.63,"[5.0, 7.0, 6.0, 3.0, 6.0, 6.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,1,133,FW,8.98,14.4,0.6236111111111111,"[-25.0, -35.0, -35.0, -50.0, -35.0, -50.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,1,133,sm,1.49,2.3,0.6478260869565218,"[-2.0, -4.0, 0.0, -2.0, 0.0, 0.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,1,133,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,2,151,DF,0.75,2.3,0.32608695652173914,"[9.0, 8.0, 8.0, 8.0, 10.0, 9.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,2,151,CO,0.91,2.0,0.455,"[6.75, 4.5, 5.25, 5.25, 6.75, 6.75]"
,152,Rock'n'Roll-Small Formation Juniors,Final,2,151,FM,0.82,2.0,0.41,"[9.0, 8.0, 8.0, 7.0, 9.0, 7.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,2,151,FW,13.12,14.4,0.911111111111111,"[-25.0, -15.0, -35.0, -50.0, -25.0, -50.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,2,151,sm,0.75,2.3,0.32608695652173914,"[-2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,2,151,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,3,102,DF,1.26,2.3,0.5478260869565218,"[9.0, 8.0, 6.0, 9.0, 9.0, 10.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,3,102,CO,0.61,2.0,0.305,"[7.5, 6.75, 6.0, 6.0, 6.75, 7.5]"
,152,Rock'n'Roll-Small Formation Juniors,Final,3,102,FM,1.07,2.0,0.535,"[9.0, 8.0, 6.0, 7.0, 8.0, 9.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,3,102,FW,13.97,14.4,0.9701388888888889,"[-35.0, -10.0, -35.0, -50.0, -25.0, -50.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,3,102,sm,0.94,2.3,0.40869565217391307,"[0.0, -2.0, 0.0, 0.0, 0.0, -2.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,3,102,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,4,229,DF,2.29,2.3,0.9956521739130436,"[10.0, 5.0, 7.0, 7.0, 9.0, 12.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,4,229,CO,1.46,2.0,0.73,"[8.25, 7.5, 5.25, 4.5, 7.5, 8.25]"
,152,Rock'n'Roll-Small Formation Juniors,Final,4,229,FM,1.37,2.0,0.685,"[9.0, 9.0, 7.0, 6.0, 9.0, 10.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,4,229,FW,10.27,14.4,0.7131944444444444,"[-25.0, -35.0, -35.0, -50.0, -25.0, -50.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,4,229,sm,1.0,2.3,0.4347826086956522,"[-2.0, -2.0, 0.0, -2.0, 0.0, 0.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,4,229,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,5,158,DF,1.29,2.3,0.5608695652173914,"[8.0, 6.0, 8.0, 7.0, 9.0, 10.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,5,158,CO,0.94,2.0,0.47,"[7.5, 6.0, 6.0, 4.5, 6.75, 6.75]"
,152,Rock'n'Roll-Small Formation Juniors,Final,5,158,FM,1.29,2.0,0.645,"[8.0, 7.0, 9.0, 6.0, 8.0, 10.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,5,158,FW,10.27,14.4,0.7131944444444444,"[-35.0, -25.0, -35.0, -50.0, -25.0, -50.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,5,158,sm,0.94,2.3,0.40869565217391307,"[-2.0, 0.0, -2.0, 0.0, -2.0, -2.0]"
,152,Rock'n'Roll-Small Formation Juniors,Final,5,158,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Small Formation,Final,1,35,DF,1.34,2.3,0.582608695652174,"[9.0, 6.0, 6.0, 6.0, 7.0, 9.0]"
,152,Rock'n'Roll-Small Formation,Final,1,35,CO,1.01,2.0,0.505,"[6.75, 4.5, 6.0, 4.5, 6.75, 6.75]"
,152,Rock'n'Roll-Small Formation,Final,1,35,FM,1.86,2.0,0.93,"[7.0, 6.0, 8.0, 4.0, 8.0, 10.0]"
,152,Rock'n'Roll-Small Formation,Final,1,35,FW,9.01,14.4,0.6256944444444444,"[-25.0, -25.0, -25.0, -50.0, -35.0, -35.0]"
yes,152,Rock'n'Roll-Small Formation,Final,1,35,sm,2.43,2.3,1.056521739130435,"[0.0, 0.0, -4.0, 0.0, -6.0, 0.0]"
,152,Rock'n'Roll-Small Formation,Final,1,35,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Small Formation,Final,2,335,DF,0.75,2.3,0.32608695652173914,"[7.0, 6.0, 6.0, 7.0, 8.0, 6.0]"
,152,Rock'n'Roll-Small Formation,Final,2,335,CO,1.06,2.0,0.53,"[6.0, 6.0, 3.0, 5.25, 6.0, 5.25]"
,152,Rock'n'Roll-Small Formation,Final,2,335,FM,1.11,2.0,0.555,"[6.0, 8.0, 5.0, 6.0, 8.0, 7.0]"
,152,Rock'n'Roll-Small Formation,Final,2,335,FW,11.79,14.4,0.8187499999999999,"[-35.0, -10.0, -35.0, -50.0, -35.0, -35.0]"
,152,Rock'n'Roll-Small Formation,Final,2,335,sm,1.0,2.3,0.4347826086956522,"[0.0, 0.0, -2.0, 0.0, -2.0, -2.0]"
,152,Rock'n'Roll-Small Formation,Final,2,335,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Small Formation,Final,3,180,DF,1.07,2.3,0.4652173913043479,"[8.0, 7.0, 6.0, 9.0, 8.0, 9.0]"
,152,Rock'n'Roll-Small Formation,Final,3,180,CO,1.41,2.0,0.705,"[7.5, 8.25, 5.25, 5.25, 6.75, 9.0]"
,152,Rock'n'Roll-Small Formation,Final,3,180,FM,1.71,2.0,0.855,"[9.0, 8.0, 7.0, 4.0, 9.0, 8.0]"
,152,Rock'n'Roll-Small Formation,Final,3,180,FW,7.31,14.4,0.5076388888888889,"[-25.0, -10.0, -25.0, -35.0, -25.0, -25.0]"
,152,Rock'n'Roll-Small Formation,Final,3,180,sm,0.94,2.3,0.40869565217391307,"[0.0, -2.0, 0.0, 0.0, 0.0, -2.0]"
,152,Rock'n'Roll-Small Formation,Final,3,180,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Small Formation,Final,4,33,DF,1.11,2.3,0.482608695652174,"[11.0, 12.0, 9.0, 12.0, 12.0, 12.0]"
,152,Rock'n'Roll-Small Formation,Final,4,33,CO,0.87,2.0,0.435,"[9.0, 6.75, 7.5, 8.25, 9.0, 9.0]"
,152,Rock'n'Roll-Small Formation,Final,4,33,FM,1.21,2.0,0.605,"[10.0, 8.0, 10.0, 11.0, 10.0, 12.0]"
,152,Rock'n'Roll-Small Formation,Final,4,33,FW,8.04,14.4,0.5583333333333332,"[-25.0, -10.0, -15.0, -25.0, -25.0, -35.0]"
,152,Rock'n'Roll-Small Formation,Final,4,33,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Small Formation,Final,4,33,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Formation Juniors,Final,1,65,DF,0.94,2.3,0.40869565217391307,"[11.0, 11.0, 10.0, 11.0, 9.0, 12.0]"
,152,Rock'n'Roll-Formation Juniors,Final,1,65,CO,0.84,2.0,0.42,"[8.25, 6.75, 8.25, 8.25, 6.75, 9.0]"
,152,Rock'n'Roll-Formation Juniors,Final,1,65,FM,1.7,2.0,0.85,"[10.0, 10.0, 13.0, 9.0, 8.0, 12.0]"
,152,Rock'n'Roll-Formation Juniors,Final,1,65,FW,8.98,14.4,0.6236111111111111,"[-15.0, -15.0, -15.0, -25.0, -35.0, -35.0]"
,152,Rock'n'Roll-Formation Juniors,Final,1,65,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Formation Juniors,Final,1,65,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Formation Juniors,Final,2,37,DF,0.37,2.3,0.16086956521739132,"[12.0, 12.0, 12.0, 11.0, 12.0, 12.0]"
,152,Rock'n'Roll-Formation Juniors,Final,2,37,CO,0.71,2.0,0.355,"[9.0, 8.25, 9.0, 7.5, 9.0, 9.75]"
,152,Rock'n'Roll-Formation Juniors,Final,2,37,FM,1.34,2.0,0.67,"[11.0, 10.0, 13.0, 9.0, 12.0, 12.0]"
,152,Rock'n'Roll-Formation Juniors,Final,2,37,FW,8.04,14.4,0.5583333333333332,"[-15.0, -5.0, -10.0, -25.0, -25.0, -25.0]"
,152,Rock'n'Roll-Formation Juniors,Final,2,37,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Formation Juniors,Final,2,37,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Formation Juniors,Final,3,144,DF,0.94,2.3,0.40869565217391307,"[9.0, 8.0, 10.0, 7.0, 9.0, 9.0]"
,152,Rock'n'Roll-Formation Juniors,Final,3,144,CO,0.94,2.0,0.47,"[7.5, 6.75, 6.0, 4.5, 6.75, 6.75]"
,152,Rock'n'Roll-Formation Juniors,Final,3,144,FM,1.26,2.0,0.63,"[9.0, 8.0, 9.0, 6.0, 10.0, 9.0]"
,152,Rock'n'Roll-Formation Juniors,Final,3,144,FW,14.36,14.4,0.9972222222222221,"[-25.0, -10.0, -25.0, -50.0, -35.0, -50.0]"
,152,Rock'n'Roll-Formation Juniors,Final,3,144,sm,0.75,2.3,0.32608695652173914,"[-2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Formation Juniors,Final,3,144,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Formation Juniors,Final,4,175,DF,0.76,2.3,0.3304347826086957,"[9.0, 7.0, 8.0, 9.0, 9.0, 9.0]"
,152,Rock'n'Roll-Formation Juniors,Final,4,175,CO,0.91,2.0,0.455,"[6.75, 5.25, 5.25, 5.25, 7.5, 6.75]"
,152,Rock'n'Roll-Formation Juniors,Final,4,175,FM,1.25,2.0,0.625,"[8.0, 8.0, 10.0, 6.0, 9.0, 9.0]"
,152,Rock'n'Roll-Formation Juniors,Final,4,175,FW,7.31,14.4,0.5076388888888889,"[-35.0, -25.0, -35.0, -50.0, -35.0, -35.0]"
yes,152,Rock'n'Roll-Formation Juniors,Final,4,175,sm,2.52,2.3,1.0956521739130436,"[-2.0, -2.0, -8.0, 0.0, -4.0, -2.0]"
,152,Rock'n'Roll-Formation Juniors,Final,4,175,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Formation,Final,1,208,DF,0.69,2.3,0.3,"[11.0, 13.0, 12.0, 12.0, 12.0, 13.0]"
,152,Rock'n'Roll-Formation,Final,1,208,CO,0.97,2.0,0.485,"[9.0, 9.0, 8.25, 9.75, 7.5, 10.5]"
,152,Rock'n'Roll-Formation,Final,1,208,FM,0.9,2.0,0.45,"[10.0, 13.0, 12.0, 12.0, 12.0, 12.0]"
,152,Rock'n'Roll-Formation,Final,1,208,FW,7.45,14.4,0.5173611111111112,"[-15.0, 0.0, -15.0, -10.0, -15.0, -25.0]"
,152,Rock'n'Roll-Formation,Final,1,208,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Formation,Final,1,208,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Formation,Final,2,104,DF,0.5,2.3,0.2173913043478261,"[9.0, 10.0, 9.0, 9.0, 10.0, 10.0]"
,152,Rock'n'Roll-Formation,Final,2,104,CO,0.94,2.0,0.47,"[6.75, 6.75, 7.5, 6.0, 9.0, 7.5]"
,152,Rock'n'Roll-Formation,Final,2,104,FM,0.82,2.0,0.41,"[8.0, 10.0, 9.0, 8.0, 10.0, 9.0]"
,152,Rock'n'Roll-Formation,Final,2,104,FW,11.06,14.4,0.7680555555555556,"[-35.0, -5.0, -15.0, -25.0, -15.0, -35.0]"
,152,Rock'n'Roll-Formation,Final,2,104,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Formation,Final,2,104,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Main Class Start,Final,1,371,DF,1.56,2.3,0.6782608695652175,"[10.0, 7.5, 11.25]"
,152,Rock'n'Roll-Main Class Start,Final,1,371,CO,0.82,2.0,0.41,"[7.0, 8.0, 9.0]"
,152,Rock'n'Roll-Main Class Start,Final,1,371,FM,0.71,2.0,0.355,"[6.5, 5.0, 5.0]"
,152,Rock'n'Roll-Main Class Start,Final,1,371,FW,7.07,14.4,0.49097222222222225,"[-35.0, -50.0, -35.0]"
,152,Rock'n'Roll-Main Class Start,Final,1,371,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Main Class Start,Final,1,371,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Main Class Start,Final,2,223,DF,1.18,2.3,0.5130434782608696,"[10.0, 7.5, 7.5]"
,152,Rock'n'Roll-Main Class Start,Final,2,223,CO,0.82,2.0,0.41,"[7.0, 8.0, 6.0]"
