rt_id,Judge,tip,Category,Round,Heat,Stn,stanica,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,bm,turnir
1731,E,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,4,184,5,0,0,0,0,0,0,0,151
1731,E,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,5,47,5,0,0,0,0,0,0,0,151
1731,E,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,6,86,5,0,0,0,0,0,0,0,151
1731,G,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,1,263,7,0,0,0,0,0,0,0,151
1731,G,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,2,90,7,0,0,0,0,0,0,0,151
1731,G,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,3,41,7,0,0,0,0,0,0,0,151
1731,G,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,4,184,7,0,0,0,0,0,0,0,151
1731,G,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,5,47,7,0,0,0,0,0,0,0,151
1731,G,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,6,86,7,0,0,0,0,0,0,0,151
1733,G,A,Boogie-Woogie-Main Class,Final - fast,1,257,1,0,0,0,0,0,0,0,151
1733,G,A,Boogie-Woogie-Main Class,Final - fast,2,24,1,0,0,0,0,0,0,0,151
1733,G,A,Boogie-Woogie-Main Class,Final - fast,3,369,1,0,0,0,0,0,0,0,151
1733,H,A,Boogie-Woogie-Main Class,Final - fast,1,257,2,0,0,0,0,0,0,0,151
1733,H,A,Boogie-Woogie-Main Class,Final - fast,2,24,2,0,0,0,0,0,0,0,151
1733,H,A,Boogie-Woogie-Main Class,Final - fast,3,369,2,0,0,0,0,0,0,0,151
1734,B,A,Rock'n'Roll-Main Class Start,Final,1,176,2,-15,-25,-25,-25,-35,-35,0,151
1734,B,A,Rock'n'Roll-Main Class Start,Final,2,142,2,-15,-35,-15,-35,-35,-25,0,151
1734,B,A,Rock'n'Roll-Main Class Start,Final,3,236,2,-15,-25,-15,-35,-35,-35,0,151
1734,B,A,Rock'n'Roll-Main Class Start,Final,4,28,2,-25,-15,-25,-25,-15,-15,0,151
1734,B,A,Rock'n'Roll-Main Class Start,Final,5,36,2,-10,-15,-10,-25,-15,-15,0,151
1734,B,A,Rock'n'Roll-Main Class Start,Final,6,371,2,-25,-15,-25,-25,-25,-35,0,151
1734,F,A,Rock'n'Roll-Main Class Start,Final,1,176,6,-5,-5,-10,-5,-10,-10,0,151
1734,F,A,Rock'n'Roll-Main Class Start,Final,2,142,6,0,-5,-5,-5,-15,-25,0,151
1734,F,A,Rock'n'Roll-Main Class Start,Final,3,236,6,0,-5,-5,-5,-25,-10,0,151
1734,F,A,Rock'n'Roll-Main Class Start,Final,4,28,6,-5,-5,-5,-5,-5,-10,0,151
1734,F,A,Rock'n'Roll-Main Class Start,Final,5,36,6,-5,-5,-5,-5,-10,-5,0,151
1734,F,A,Rock'n'Roll-Main Class Start,Final,6,371,6,-5,-5,-5,-5,-5,-15,0,151
1734,G,A,Rock'n'Roll-Main Class Start,Final,1,176,7,-15,-15,-10,-10,-15,-15,0,151
1734,G,A,Rock'n'Roll-Main Class Start,Final,2,142,7,-10,-10,-15,-15,-25,-25,0,151
1734,G,A,Rock'n'Roll-Main Class Start,Final,3,236,7,-10,-15,-10,-15,-15,-15,0,151
1734,G,A,Rock'n'Roll-Main Class Start,Final,4,28,7,-25,-25,-15,-15,-10,-25,0,151
1734,G,A,Rock'n'Roll-Main Class Start,Final,5,36,7,-10,-15,-10,-15,-25,-25,0,151
1734,G,A,Rock'n'Roll-Main Class Start,Final,6,371,7,-15,-15,-15,-10,-25,-15,0,151
1735,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,224,1,-10,-10,-15,-25,-50,-15,0,151
1735,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,148,1,-10,-10,-10,-15,-10,-5,0,151
1735,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,172,1,-5,-15,-25,0,-10,-10,0,151
1735,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,71,1,-10,-10,-10,-75,-15,-15,0,151
1735,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,300,1,-5,-15,-10,-75,-10,-15,0,151
1735,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,181,1,-15,-15,-10,-25,-5,-10,0,151
1735,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,224,3,-10,-10,-10,-5,-15,-10,0,151
1735,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,148,3,-10,-10,-15,-15,-10,-5,0,151
1735,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,172,3,-15,-10,-10,-10,-15,-10,0,151
1735,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,71,3,-10,-10,-15,-75,-25,-10,0,151
1735,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,300,3,-10,-15,-15,-50,-35,-25,0,151
1735,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,181,3,-10,-15,-15,-25,-10,-10,0,151
1735,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,224,4,-10,-5,-10,-15,-25,-5,0,151
1735,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,148,4,0,-10,-25,-15,-10,-10,0,151
1735,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,172,4,-25,-25,-15,-5,-10,-15,0,151
1735,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,71,4,-25,-15,-25,-75,-25,-35,0,151
1735,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,300,4,-10,-50,-35,-50,-25,-25,0,151
1735,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,181,4,-5,-10,-10,-15,-10,-10,0,151
1736,C,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,1,184,3,-5,-10,-15,-35,-25,-5,0,151
1736,C,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,2,41,3,-10,-10,-15,-10,-15,-10,0,151
1736,C,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,3,86,3,-10,-25,-15,-10,-10,-5,0,151
1736,C,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,4,47,3,-10,-10,-5,-10,-5,-5,0,151
1736,C,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,5,90,3,-10,-10,-5,-10,-10,-5,0,151
1736,C,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,6,263,3,-10,-10,-10,-25,-15,-5,0,151
1736,E,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,1,184,5,-10,-15,-25,-35,-15,0,0,151
1736,E,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,2,41,5,-25,-50,-15,-10,-25,-25,0,151
1736,E,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,3,86,5,-5,-15,-25,0,-10,-10,0,151
1736,E,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,4,47,5,-10,0,-10,-15,-10,0,0,151
1736,E,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,5,90,5,-10,-10,-25,-35,-25,-15,0,151
1736,E,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,6,263,5,-25,-35,-35,-50,-35,-15,0,151
1736,G,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,1,184,7,-10,-10,-15,-25,-15,-10,0,151
1736,G,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,2,41,7,-15,-25,-25,-15,-25,-35,0,151
1736,G,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,3,86,7,-10,-25,-25,-15,-25,-15,0,151
1736,G,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,4,47,7,-10,-15,-10,-15,-10,-10,0,151
1736,G,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,5,90,7,-10,-5,-5,-15,-15,-10,0,151
1736,G,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,6,263,7,-25,-25,-35,-35,-35,-25,0,151
