anomaly,category name,round,heat,couple,criteria,stdev,threshold,raw data
,Rock'n'Roll-Beginners,Final,2,192,FM,1.03,12.0,"[6.5, 7.5, 5.0, 6.5, 7.5, 8.5, 6.5]"
yes,Rock'n'Roll-Beginners,Final,2,192,FW,17.26,12.0,"[-25.0, -15.0, -75.0, -35.0, -35.0, -35.0, -35.0]"
,Rock'n'Roll-Beginners,Final,2,192,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,2,192,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,3,193,DF,1.62,2.0,"[12.5, 13.75, 13.75, 11.25, 11.25, 16.25, 12.5]"
,Rock'n'Roll-Beginners,Final,3,193,CO,1.16,2.0,"[10.0, 11.0, 12.0, 8.0, 11.0, 10.0, 10.0]"
,Rock'n'Roll-Beginners,Final,3,193,FM,1.16,12.0,"[6.5, 7.5, 5.0, 7.5, 5.0, 7.5, 5.0]"
yes,Rock'n'Roll-Beginners,Final,3,193,FW,13.29,12.0,"[-15.0, -10.0, -50.0, -25.0, -35.0, -15.0, -35.0]"
,Rock'n'Roll-Beginners,Final,3,193,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,3,193,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,4,62,DF,1.97,2.0,"[12.5, 10.0, 8.75, 7.5, 12.5, 12.5, 8.75]"
,Rock'n'Roll-Beginners,Final,4,62,CO,1.25,2.0,"[8.0, 10.0, 7.0, 7.0, 10.0, 8.0, 7.0]"
,Rock'n'Roll-Beginners,Final,4,62,FM,1.04,12.0,"[7.5, 7.5, 5.0, 6.5, 7.5, 8.5, 6.5]"
,Rock'n'Roll-Beginners,Final,4,62,FW,9.95,12.0,"[-25.0, -25.0, -50.0, -25.0, -25.0, -15.0, -25.0]"
,Rock'n'Roll-Beginners,Final,4,62,sm,0.9,2.3,"[0.0, 0.0, -2.0, 0.0, -2.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,4,62,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,5,27,DF,1.62,2.0,"[12.5, 11.25, 10.0, 12.5, 10.0, 15.0, 12.5]"
,Rock'n'Roll-Beginners,Final,5,27,CO,1.18,2.0,"[10.0, 8.0, 9.0, 9.0, 11.0, 11.0, 8.0]"
,Rock'n'Roll-Beginners,Final,5,27,FM,0.76,12.0,"[7.5, 7.5, 6.5, 8.5, 7.5, 8.5, 6.5]"
,Rock'n'Roll-Beginners,Final,5,27,FW,10.35,12.0,"[-35.0, -25.0, -50.0, -25.0, -35.0, -25.0, -50.0]"
,Rock'n'Roll-Beginners,Final,5,27,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,5,27,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,6,214,DF,1.49,2.0,"[11.25, 11.25, 11.25, 8.75, 12.5, 13.75, 10.0]"
,Rock'n'Roll-Beginners,Final,6,214,CO,1.83,2.0,"[9.0, 9.0, 10.0, 6.0, 10.0, 11.0, 6.0]"
,Rock'n'Roll-Beginners,Final,6,214,FM,0.88,12.0,"[7.5, 8.5, 6.5, 6.5, 6.5, 8.5, 6.5]"
yes,Rock'n'Roll-Beginners,Final,6,214,FW,12.49,12.0,"[-35.0, -25.0, -50.0, -25.0, -25.0, -15.0, -50.0]"
,Rock'n'Roll-Beginners,Final,6,214,sm,0.7,2.3,"[0.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,6,214,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,1,135,DF,1.56,2.0,"[13.75, 12.5, 12.5, 12.5, 12.5, 13.75, 8.75]"
,Rock'n'Roll-Juveniles,First round,1,135,CO,1.03,2.0,"[8.0, 10.0, 8.0, 9.0, 10.0, 9.0, 7.0]"
,Rock'n'Roll-Juveniles,First round,1,135,FM,1.16,12.0,"[7.5, 8.5, 6.5, 8.5, 7.5, 5.0, 6.5]"
,Rock'n'Roll-Juveniles,First round,1,135,FW,8.33,12.0,"[-25.0, -15.0, -35.0, -15.0, -25.0, -15.0, -35.0]"
,Rock'n'Roll-Juveniles,First round,1,135,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,1,135,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,1,149,DF,1.62,2.0,"[12.5, 10.0, 12.5, 15.0, 13.75, 12.5, 15.0]"
,Rock'n'Roll-Juveniles,First round,1,149,CO,1.46,2.0,"[10.0, 9.0, 9.0, 12.0, 13.0, 11.0, 12.0]"
,Rock'n'Roll-Juveniles,First round,1,149,FM,0.76,12.0,"[7.5, 7.5, 7.5, 8.5, 8.5, 6.5, 6.5]"
,Rock'n'Roll-Juveniles,First round,1,149,FW,8.63,12.0,"[-15.0, -15.0, -25.0, -10.0, -25.0, -10.0, -35.0]"
,Rock'n'Roll-Juveniles,First round,1,149,sm,0.9,2.3,"[-2.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,1,149,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,2,7,DF,0.91,2.0,"[7.5, 8.75, 10.0, 7.5, 7.5, 7.5, 7.5]"
,Rock'n'Roll-Juveniles,First round,2,7,CO,1.16,2.0,"[8.0, 9.0, 9.0, 6.0, 8.0, 8.0, 6.0]"
,Rock'n'Roll-Juveniles,First round,2,7,FM,0.68,12.0,"[6.5, 5.0, 5.0, 5.0, 6.5, 5.0, 5.0]"
,Rock'n'Roll-Juveniles,First round,2,7,FW,8.39,12.0,"[-35.0, -35.0, -50.0, -50.0, -35.0, -25.0, -35.0]"
,Rock'n'Roll-Juveniles,First round,2,7,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,2,7,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,2,235,DF,1.75,2.0,"[11.25, 12.5, 13.75, 12.5, 11.25, 16.25, 15.0]"
,Rock'n'Roll-Juveniles,First round,2,235,CO,0.99,2.0,"[8.0, 10.0, 11.0, 10.0, 9.0, 10.0, 11.0]"
,Rock'n'Roll-Juveniles,First round,2,235,FM,0.53,12.0,"[7.5, 8.5, 7.5, 7.5, 7.5, 7.5, 6.5]"
,Rock'n'Roll-Juveniles,First round,2,235,FW,5.35,12.0,"[-25.0, -25.0, -35.0, -25.0, -25.0, -15.0, -25.0]"
,Rock'n'Roll-Juveniles,First round,2,235,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,2,235,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,3,153,DF,1.6,2.0,"[11.25, 10.0, 13.75, 10.0, 13.75, 13.75, 12.5]"
,Rock'n'Roll-Juveniles,First round,3,153,CO,0.88,2.0,"[8.0, 10.0, 10.0, 9.0, 10.0, 11.0, 10.0]"
,Rock'n'Roll-Juveniles,First round,3,153,FM,0.64,12.0,"[7.5, 8.5, 6.5, 7.5, 7.5, 7.5, 6.5]"
,Rock'n'Roll-Juveniles,First round,3,153,FW,7.0,12.0,"[-25.0, -15.0, -35.0, -25.0, -35.0, -25.0, -35.0]"
,Rock'n'Roll-Juveniles,First round,3,153,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,3,153,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,3,155,DF,0.87,2.0,"[10.0, 10.0, 8.75, 7.5, 8.75, 8.75, 10.0]"
,Rock'n'Roll-Juveniles,First round,3,155,CO,1.03,2.0,"[8.0, 9.0, 7.0, 6.0, 6.0, 7.0, 8.0]"
,Rock'n'Roll-Juveniles,First round,3,155,FM,1.09,12.0,"[6.5, 5.0, 2.5, 5.0, 5.0, 5.0, 5.0]"
,Rock'n'Roll-Juveniles,First round,3,155,FW,5.25,12.0,"[-35.0, -35.0, -50.0, -35.0, -35.0, -35.0, -35.0]"
,Rock'n'Roll-Juveniles,First round,3,155,sm,0.9,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, -2.0, -2.0]"
,Rock'n'Roll-Juveniles,First round,3,155,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,First round,4,182,DF,2.81,2.0,"[7.5, 12.5, 13.75, 7.5, 13.75, 15.0, 11.25]"
,Rock'n'Roll-Juveniles,First round,4,182,CO,1.29,2.0,"[8.0, 11.0, 11.0, 8.0, 11.0, 9.0, 9.0]"
