anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
yes,143,Rock'n'Roll-Juniors,Final,3,430,FW,13.78,12.0,1.1483333333333332,"[-10.0, -15.0, -25.0, -25.0, -50.0]"
,143,Rock'n'Roll-Juniors,Final,3,430,sm,0.8,2.3,0.3478260869565218,"[-2.0, 0.0, 0.0, 0.0, 0.0]"
yes,143,Rock'n'Roll-Juniors,Final,3,430,bm,12.0,8.0,1.5,"[-30.0, -50.0, -60.0, -50.0, -30.0]"
,143,Rock'n'Roll-Juniors,Final,4,118,DF,0.63,2.0,0.315,"[9.0, 9.0, 10.0, 9.0, 8.0]"
,143,Rock'n'Roll-Juniors,Final,4,118,CO,1.17,2.0,0.585,"[7.0, 8.0, 9.0, 9.0, 6.0]"
,143,Rock'n'Roll-Juniors,Final,4,118,FM,1.17,2.0,0.585,"[6.5, 8.5, 6.5, 5.0, 7.5]"
,143,Rock'n'Roll-Juniors,Final,4,118,FW,8.94,12.0,0.745,"[-15.0, -15.0, -35.0, -35.0, -25.0]"
,143,Rock'n'Roll-Juniors,Final,4,118,sm,0.8,2.3,0.3478260869565218,"[0.0, 0.0, 0.0, -2.0, 0.0]"
,143,Rock'n'Roll-Juniors,Final,4,118,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juniors,Final,5,60,DF,0.98,2.0,0.49,"[8.0, 8.0, 10.0, 10.0, 10.0]"
,143,Rock'n'Roll-Juniors,Final,5,60,CO,0.75,2.0,0.375,"[9.0, 8.0, 10.0, 10.0, 9.0]"
,143,Rock'n'Roll-Juniors,Final,5,60,FM,0.4,2.0,0.2,"[7.5, 7.5, 7.5, 8.5, 7.5]"
,143,Rock'n'Roll-Juniors,Final,5,60,FW,8.72,12.0,0.7266666666666667,"[-15.0, -10.0, -25.0, -35.0, -25.0]"
,143,Rock'n'Roll-Juniors,Final,5,60,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juniors,Final,5,60,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juniors,Final,6,197,DF,1.79,2.0,0.895,"[7.0, 5.0, 8.0, 7.0, 3.0]"
yes,143,Rock'n'Roll-Juniors,Final,6,197,CO,2.58,2.0,1.29,"[6.0, 5.0, 10.0, 9.0, 3.0]"
,143,Rock'n'Roll-Juniors,Final,6,197,FM,1.57,2.0,0.785,"[5.0, 5.0, 6.5, 2.5, 2.5]"
yes,143,Rock'n'Roll-Juniors,Final,6,197,FW,12.25,12.0,1.0208333333333333,"[-50.0, -50.0, -50.0, -75.0, -75.0]"
,143,Rock'n'Roll-Juniors,Final,6,197,sm,1.6,2.3,0.6956521739130436,"[0.0, 0.0, -4.0, -2.0, 0.0]"
,143,Rock'n'Roll-Juniors,Final,6,197,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Small Formation Juniors,Final,1,151,DF,1.36,2.0,0.68,"[8.0, 6.0, 6.0, 9.0, 9.0]"
,143,Rock'n'Roll-Small Formation Juniors,Final,1,151,CO,0.56,2.0,0.28,"[6.0, 5.25, 6.75, 6.0, 5.25]"
,143,Rock'n'Roll-Small Formation Juniors,Final,1,151,FM,1.17,2.0,0.585,"[8.0, 7.0, 6.0, 8.0, 5.0]"
,143,Rock'n'Roll-Small Formation Juniors,Final,1,151,FW,11.22,12.0,0.935,"[-25.0, -50.0, -35.0, -50.0, -25.0]"
,143,Rock'n'Roll-Small Formation Juniors,Final,1,151,sm,1.6,2.3,0.6956521739130436,"[0.0, 0.0, -4.0, -2.0, 0.0]"
,143,Rock'n'Roll-Small Formation Juniors,Final,1,151,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Small Formation Juniors,Final,2,158,DF,0.75,2.0,0.375,"[8.0, 9.0, 8.0, 10.0, 9.0]"
,143,Rock'n'Roll-Small Formation Juniors,Final,2,158,CO,0.87,2.0,0.435,"[6.0, 5.25, 7.5, 7.5, 6.75]"
,143,Rock'n'Roll-Small Formation Juniors,Final,2,158,FM,0.8,2.0,0.4,"[9.0, 7.0, 8.0, 9.0, 9.0]"
,143,Rock'n'Roll-Small Formation Juniors,Final,2,158,FW,8.0,12.0,0.6666666666666666,"[-35.0, -25.0, -35.0, -50.0, -35.0]"
,143,Rock'n'Roll-Small Formation Juniors,Final,2,158,sm,1.96,2.3,0.8521739130434783,"[-4.0, -4.0, 0.0, -4.0, 0.0]"
,143,Rock'n'Roll-Small Formation Juniors,Final,2,158,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Small Formation,Final,1,335,DF,1.17,2.0,0.585,"[8.0, 6.0, 7.0, 9.0, 6.0]"
,143,Rock'n'Roll-Small Formation,Final,1,335,CO,0.76,2.0,0.38,"[5.25, 4.5, 5.25, 6.0, 3.75]"
,143,Rock'n'Roll-Small Formation,Final,1,335,FM,1.02,2.0,0.51,"[6.0, 8.0, 7.0, 9.0, 7.0]"
,143,Rock'n'Roll-Small Formation,Final,1,335,FW,7.35,12.0,0.6124999999999999,"[-35.0, -35.0, -50.0, -35.0, -50.0]"
,143,Rock'n'Roll-Small Formation,Final,1,335,sm,0.98,2.3,0.42608695652173917,"[-2.0, 0.0, 0.0, -2.0, 0.0]"
,143,Rock'n'Roll-Small Formation,Final,1,335,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Small Formation,Final,2,35,DF,1.1,2.0,0.55,"[9.0, 8.0, 6.0, 8.0, 9.0]"
