anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,144,Rock'n'Roll-Main Class Contact Style,First round,3,71,Acro 3,0.0,12.0,0.0,"[-50.0, -50.0, -50.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,3,71,Acro 4,9.43,12.0,0.7858333333333333,"[-15.0, -35.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,3,71,Acro 5,4.71,12.0,0.3925,"[-15.0, -25.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,3,71,Acro 6,0.0,12.0,0.0,"[-1.0, -1.0, -1.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,4,172,Acro 1,6.24,12.0,0.52,"[-15.0, -25.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,4,172,Acro 2,2.36,12.0,0.19666666666666666,"[-10.0, -15.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,4,172,Acro 3,11.79,12.0,0.9824999999999999,"[-50.0, -75.0, -50.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,4,172,Acro 4,4.71,12.0,0.3925,"[-25.0, -15.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,4,172,Acro 5,4.71,12.0,0.3925,"[-25.0, -25.0, -35.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,4,172,Acro 6,0.0,12.0,0.0,"[-1.0, -1.0, -1.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,4,300,Acro 1,4.08,12.0,0.34,"[-10.0, -15.0, -5.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,4,300,Acro 2,0.0,12.0,0.0,"[-15.0, -15.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,4,300,Acro 3,4.71,12.0,0.3925,"[-15.0, -15.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,4,300,Acro 4,0.0,12.0,0.0,"[-25.0, -25.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,4,300,Acro 5,4.71,12.0,0.3925,"[-25.0, -15.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,4,300,Acro 6,0.0,12.0,0.0,"[-1.0, -1.0, -1.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,5,363,Acro 1,10.8,12.0,0.9,"[-25.0, 0.0, -5.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,5,363,Acro 2,4.71,12.0,0.3925,"[-10.0, 0.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,5,363,Acro 3,4.08,12.0,0.34,"[-10.0, 0.0, -5.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,5,363,Acro 4,2.36,12.0,0.19666666666666666,"[-10.0, -15.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,5,363,Acro 5,7.07,12.0,0.5891666666666667,"[-25.0, -10.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,5,363,Acro 6,0.0,12.0,0.0,"[-1.0, -1.0, -1.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,5,179,Acro 1,10.27,12.0,0.8558333333333333,"[-35.0, -10.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,5,179,Acro 2,4.71,12.0,0.3925,"[-10.0, 0.0, 0.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,5,179,Acro 3,2.36,12.0,0.19666666666666666,"[-15.0, -10.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,5,179,Acro 4,2.36,12.0,0.19666666666666666,"[-15.0, -10.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,5,179,Acro 5,0.0,12.0,0.0,"[-15.0, -15.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,5,179,Acro 6,0.0,12.0,0.0,"[-1.0, -1.0, -1.0]"
